id,libelle,profil,public_associe,related_themes
57,Tout le PAF 2D,ENC,"A0,A1,A2,A4,A5,A6,A7,B0,B1,B2,B3,B5,B7,C0,C1,C4,D0,D1,D2,D3,G4,H0,H1,H2,H3,J0,J1,K0,M1,M2,M3,P0,P1,T2,Y0,Y1,Y2,Y3,Y4,Y5,Y9","352,345,259,260,257,258,261,263,264,270,272,273,274,286,285,275,314,278,280,288,282,287,346,289,348,291,297,298,302,304,300,301,303,305,307,306,308,309,269,311,313,316,315,299,325,310,266,317,323,329,276,322,312,319,328,320,321,330,262,332,271"
56,Accompagnant d'Élèves en Situation de Handicap,AE,"D0,D1,Y0,Y9","275,266,314,274,310,291"
55,Assistant d'éducation,AE,"C0,D0,Y0,Y9","266,274,308,310,314"
54,Assistant de langue vivante étrangère.,AE,"A7,C0,Y0,Y9",266
53,Assistant chargé de prévention et de sécurité,AE,"C4,Y0,Y9","266,274,310"
52,Autre,ATSS,"Y0,Y3,Y9","266,274,308,310,325"
51,"Personnel ingénieur, technicien",ATSS,"Y0,Y1,Y3","266,274,310"
50,Infirmier(e),ATSS,"M2,Y0,Y2,Y3,Y4,Y9","298,266,314,274,310,291"
49,Personnels sociaux,ATSS,"M3,Y0,Y2,Y4,Y9","263,266,314,274,310,291"
48,Gestion et administration,ATSS,"H0,H1,H2,H3,P0,P1,Y0,Y2,Y3,Y9","266,332,271,308,314,274,310,325,291,345"
47,médecin,ATSS,"M1,Y0,Y3,Y9","306,266,332,271,314,274"
46,Directeur de CIO,ENC,"D3,Y0,Y1,Y9","266,332,271,308,314,274,310,291"
45,"Cadre administratif (chef de division, de service, ou adjoint)",ENC,"Y0,Y1,Y3,Y9","266,332,271,308,314,274,310,291,287"
44,Cadre technique,ENC,"Y0,Y1,Y9","266,332,271,308,314,274,310,291"
43,DDFPT,ENC,"A0,A4,A5,Y0,Y1,Y2,Y9","346,274,266,272,308,325,314,278,269,275,282,310,291,258"
42,Chef d'établissement et adjoint,ENC,"J0,Y0,Y1,Y2,Y5,Y9","287,274,266,332,271,272,308,325,314,278,269,275,282,310,290,258"
41,Inspecteur,ENC,"B0,B1,B7,K0,Y0,Y1,Y5,Y9","287,274,266,332,271,272,308,314,325,278,269,275,282,310,291,258"
40,Autre discipline,ENS2,"A0,A2,A4,A6,Y0,Y5,Y9","272,266,275,258,308,274,282,325,310,291"
39,Technologie,ENS2,"A0,A2,B1,B7,Y0,Y5,Y9","330,315,266,272,275,308,278,314,269,274,258,282,325,310,291"
38,SVT,ENS2,"A0,A2,A4,A5,A6,B1,B7,Y0,Y5,Y9","329,315,266,272,275,308,278,314,269,274,258,282,325,310,291"
36,STMS,ENS2,"A0,A4,A6,B0,B1,B7,Y0,Y2,Y5,Y9","322,315,266,272,275,308,278,314,269,274,258,282,325,310,291"
35,STI LP,ENS2,"A0,A5,A6,B0,B1,B7,Y0,Y5,Y9","320,321,299,266,272,275,258,308,278,314,269,274,282,325,310,291"
34,Sciences physiques et chimiques,ENS2,"A0,A2,A4,A6,B1,Y0,Y5,Y9","352,312,315,266,272,275,308,278,314,269,274,258,282,325,310,291"
33,SII LT,ENS2,"A0,A4,B1,B7,Y0,Y5,Y9","352,319,315,266,272,275,308,278,314,269,274,258,282,325,310,291"
32,SES,ENS2,"A0,A4,B1,B7,Y0,Y5,Y9","276,315,266,272,275,308,278,314,269,274,258,282,325,310,291"
30,Portugais,ENS2,"A0,A2,A4,A6,B0,B1,B7,Y0,Y5,Y9","313,266,272,275,258,308,277,314,269,274,282,325,310,291"
29,Philosophie,ENS2,"A0,A4,B0,B1,Y2,Y5,Y9","311,316,308,277,314,269,274,266,325,310,332,271,272,291,275,258"
28,Maths-sciences,ENS2,"A0,A5,B0,B1,B7,Y2,Y5,Y9","307,299,266,272,275,258,308,278,314,269,274,282,325,310,291"
27,Mathématiques,ENS2,"A0,A2,A4,B0,B1,B7,Y2,Y5,Y9","305,315,271,272,275,308,278,314,269,274,258,310,291,266,266,282,325,352"
26,Lettres-Langues,ENS2,"A0,A5,A6,B0,B1,B7,Y0,Y5,Y9","304,300,301,299,266,272,275,258,308,278,314,269,274,282,325,310,291"
25,Lettres-Histoire,ENS2,"A0,A5,A6,B0,B1,B7,Y0,Y5,Y9","303,266,332,271,272,275,258,308,278,314,269,299,274,282,325,310,291"
24,Lettres,ENS2,"A0,A2,A4,A5,A6,B0,B1,B7,Y0,Y2,Y5,Y9","302,316,308,278,314,269,274,282,266,325,310,332,271,272,291,275,258"
23,Italien,ENS2,"A0,A2,A4,A6,B1,B7,Y0,Y5,Y9","313,266,272,275,258,308,278,314,269,274,282,325,310"
22,Histoire-géographie,ENS2,"A0,A2,A4,A6,Y0,Y5,Y9","297,266,316,272,275,258,308,277,274,282,325,310,291"
21,Espagnol,ENS2,"A0,A2,A4,A6,B0,B1,B7,Y0,Y5,Y9","289,313,266,272,275,258,308,278,314,269,274,282,325,310,291"
20,EPS,ENS2,"A0,A2,A4,A5,A6,Y0,Y5,Y9","288,316,266,272,275,258,308,278,274,282,325,310,291"
19,Education musicale,ENS2,"A0,A2,A4,A6,Y0,Y5,Y9","280,316,266,272,275,258,308,278,282,325,310,291"
18,Eco gestion LP,ENS2,"A0,A5,A6,B0,B1,B7,Y0,Y5,Y9","286,299,266,272,275,258,308,278,314,269,274,282,325,310,291"
17,Eco gestion LT,ENS2,"A0,A2,A4,B1,B7,Y0,Y5,Y9","285,315,266,272,275,308,278,314,269,274,258,282,325,310,291"
16,Documentation,ENS2,"A0,A2,A4,A5,A6,B0,B1,Y2,Y5,Y9","273,316,308,278,314,269,274,282,266,325,310,332,271,272,291,258,275"
13,SBSSA,ENS2,"A0,A5,A6,B0,B1,B7,Y0,Y5,Y9","323,299,266,272,275,258,308,278,314,269,274,282,325,310,291"
12,Biotechnologies,ENS2,"A0,A4,B0,B1,B7,Y0,Y2,Y5,Y9","264,315,266,272,275,308,278,314,269,274,258,282,325,310,291"
11,Autres langues,ENS2,"A0,A4,A6,B1,B7,Y0,Y5,Y9","313,266,272,275,258,308,278,314,269,274,282,325,310,291"
10,Arts Plastiques,ENS2,"A0,A2,A4,A6,Y0,Y5,Y9","261,316,266,272,275,258,308,278,274,282,325,310,291"
9,Arts Appliqués,ENS2,"A0,A5,A6,B0,B1,B7,Y0,Y5,Y9","257,299,266,272,275,258,308,278,314,269,274,282,325,310,291"
8,Anglais,ENS2,"A0,A2,A4,A6,B1,B7,Y0,Y5,Y9","260,313,266,272,275,258,308,278,314,269,274,282,325,310,291"
7,Allemand,ENS2,"A0,A2,A4,A6,B1,B7,Y0,Y5,Y9","259,313,266,272,275,258,308,278,314,269,274,282,325,310,291"
6,PsyEN EDO,AE,"D0,D2,D3,Y0,Y4,Y9","269,266,332,271,308,314,274,310,291"
5,PsyEN EDA,AE,"D0,D2,D3,Y0,Y4,Y9","269,266,332,271,308,314,274,310,291"
4,Conseiller principal d'éducation,AE,"B0,B1,C0,C1,J0,Y0,Y2,Y5,Y9","332,258,271,270,272,308,278,275,314,269,274,316,282,266,325,310,291"
3,Enseignant du premier degré de l'Aisne,ENS1,"A1,B0,B1,B2,B3,B5,B7,J1,Y0,Y5","225,228,265,331,223,248,240,234,231,242,237,277,245,254,281,290,294,324,272,308,274,310"
2,Enseignant du premier degré de l'Oise,ENS1,"A1,B0,B1,B2,B3,B5,B7,J1,Y0,Y5","226,229,267,333,249,235,232,243,238,246,255,283,292,295,326,253,272,274,308,310"
1,Enseignant du premier degré de la Somme,ENS1,"A1,A6,B0,B1,B2,B3,B5,B7,J1,Y0,Y5","327,227,230,268,334,224,250,241,236,233,244,239,279,247,256,284,293,296,251,310,272,274,308"
